Company,link,Team Size,Location,Number Of Founders
Kontractify,https://www.ycombinator.com/companies/kontractify,3,San Francisco,3
Soundry AI,https://www.ycombinator.com/companies/soundry-ai,3,"Seattle, WA",3
Elodin,https://www.ycombinator.com/companies/elodin,5,San Francisco,5
HostAI,https://www.ycombinator.com/companies/hostai,4,San Francisco,2
Trieve,https://www.ycombinator.com/companies/trieve,3,San Francisco,2
Tensorfuse,https://www.ycombinator.com/companies/tensorfuse,2,San Francisco,2
Toma,https://www.ycombinator.com/companies/toma,3,New York,3
Carma,https://www.ycombinator.com/companies/carma,11,San Francisco,2
Preloop,https://www.ycombinator.com/companies/preloop,2,,2
Superagent,https://www.ycombinator.com/companies/superagent,2,San Francisco,2
Bilanc,https://www.ycombinator.com/companies/bilanc,1,"London, United Kingdom",1
SevnAI,https://www.ycombinator.com/companies/sevnai,2,San Francisco,2
Browser Buddy,https://www.ycombinator.com/companies/browser-buddy,3,San Francisco,3
Astro Mechanica,https://www.ycombinator.com/companies/astro-mechanica,8,San Francisco,1
CodeAnt AI,https://www.ycombinator.com/companies/codeant-ai,3,San Francisco,2
Draftaid,https://www.ycombinator.com/companies/draftaid,3,"Toronto, Canada",3
Metofico,https://www.ycombinator.com/companies/metofico,2,"London, United Kingdom",2
Ellipsis,https://www.ycombinator.com/companies/ellipsis,2,,2
Dime,https://www.ycombinator.com/companies/dime-2,2,,2
SpareChange,https://www.ycombinator.com/companies/sparechange,2,New York,2
Pythagora (GPT Pilot),https://www.ycombinator.com/companies/pythagora-gpt-pilot,6,,3
Wuri,https://www.ycombinator.com/companies/wuri,2,San Francisco,2
OpenCopilot,https://www.ycombinator.com/companies/opencopilot,3,,2
Aedilic,https://www.ycombinator.com/companies/aedilic,2,Palo Alto,2
Salvy,https://www.ycombinator.com/companies/salvy,12,"Curitiba, Brazil",4
Centralize,https://www.ycombinator.com/companies/centralize,2,San Francisco,2
phospho,https://www.ycombinator.com/companies/phospho,3,San Francisco,2
Quantic,https://www.ycombinator.com/companies/quantic,2,San Francisco,2
Resonance,https://www.ycombinator.com/companies/resonance,1,San Francisco,1
Firebender,https://www.ycombinator.com/companies/firebender,2,San Francisco,2
Aether Energy,https://www.ycombinator.com/companies/aether-energy,4,San Francisco,2
Kiosk,https://www.ycombinator.com/companies/kiosk,5,"Paris, France",2
Ragas,https://www.ycombinator.com/companies/ragas,2,San Francisco,2
sync labs,https://www.ycombinator.com/companies/sync-labs,5,San Francisco,4
Infinity,https://www.ycombinator.com/companies/infinity,4,"Bengaluru, India",2
InQuery,https://www.ycombinator.com/companies/inquery-2,2,,2
Markprompt,https://www.ycombinator.com/companies/markprompt,2,San Francisco,2
Tamarind Bio,https://www.ycombinator.com/companies/tamarind-bio,2,San Francisco,2
Anaphero,https://www.ycombinator.com/companies/anaphero,2,San Francisco,2
Swift,https://www.ycombinator.com/companies/swift-2,2,San Francisco,2
Intercept,https://www.ycombinator.com/companies/intercept,2,San Francisco,2
Creo,https://www.ycombinator.com/companies/creo,2,San Francisco,2
Decipher AI,https://www.ycombinator.com/companies/decipher-ai,2,San Francisco,2
Infinity AI,https://www.ycombinator.com/companies/infinity-ai,3,San Francisco,3
Double,https://www.ycombinator.com/companies/double-2,4,San Francisco,1
Speck,https://www.ycombinator.com/companies/speck,2,San Francisco,2
Guide Labs,https://www.ycombinator.com/companies/guide-labs,2,San Francisco,2
OmniAI,https://www.ycombinator.com/companies/omniai,3,New York,2
Keywords AI,https://www.ycombinator.com/companies/keywords-ai,3,San Francisco,2
PromptArmor,https://www.ycombinator.com/companies/promptarmor,2,,2
Zaymo,https://www.ycombinator.com/companies/zaymo,3,"Orem, UT",3
Glimmer,https://www.ycombinator.com/companies/glimmer,2,San Francisco,2
Celest,https://www.ycombinator.com/companies/celest,1,San Francisco,1
Meticulate,https://www.ycombinator.com/companies/meticulate,2,San Francisco,2
CloudCruise,https://www.ycombinator.com/companies/cloudcruise,3,San Francisco,3
Attunement,https://www.ycombinator.com/companies/attunement,2,San Francisco,2
Lucite,https://www.ycombinator.com/companies/lucite,2,New York,2
Selera Medical,https://www.ycombinator.com/companies/selera-medical,2,Mountain View,2
OneGrep,https://www.ycombinator.com/companies/onegrep,2,New York,2
Parasale,https://www.ycombinator.com/companies/parasale,2,San Francisco,2
Tusk,https://www.ycombinator.com/companies/tusk,2,San Francisco,2
PartnerHQ,https://www.ycombinator.com/companies/partnerhq,2,San Francisco,2
atopile,https://www.ycombinator.com/companies/atopile,3,San Francisco,3
Blume Benefits,https://www.ycombinator.com/companies/blume-benefits,3,San Francisco,3
Airfront,https://www.ycombinator.com/companies/airfront,2,San Francisco,2
SynsoryBio,https://www.ycombinator.com/companies/synsorybio,2,"Cambridge, MA",2
Yoneda Labs,https://www.ycombinator.com/companies/yoneda-labs,3,San Francisco,3
TokenOwl,https://www.ycombinator.com/companies/tokenowl,2,New York,2
Hona,https://www.ycombinator.com/companies/hona-2,3,San Francisco,3
Topo,https://www.ycombinator.com/companies/topo,5,"Paris, France",3
Trellis,https://www.ycombinator.com/companies/trellis,2,,2
Ecliptor,https://www.ycombinator.com/companies/ecliptor,2,San Francisco,2
Greenboard,https://www.ycombinator.com/companies/greenboard,2,,2
Eggnog,https://www.ycombinator.com/companies/eggnog,2,New York,2
Artisan AI,https://www.ycombinator.com/companies/artisan-ai,11,San Francisco,2
Octolane AI,https://www.ycombinator.com/companies/octolane-ai,2,San Francisco,2
BondCenter,https://www.ycombinator.com/companies/bondcenter,3,"Austin, TX",2
Roe AI,https://www.ycombinator.com/companies/roe-ai,2,"San Mateo, CA",2
Arini,https://www.ycombinator.com/companies/arini,2,San Francisco,2
Paradigm,https://www.ycombinator.com/companies/paradigm,2,San Francisco,2
PointOne,https://www.ycombinator.com/companies/pointone,3,San Francisco,3
Patchwork,https://www.ycombinator.com/companies/patchwork,2,San Francisco,2
Starlight Charging,https://www.ycombinator.com/companies/starlight-charging,1,"Austin, TX",1
Assembly,https://www.ycombinator.com/companies/assembly-2,3,San Francisco,3
MathDash,https://www.ycombinator.com/companies/mathdash,2,New York,2
Leaping,https://www.ycombinator.com/companies/leaping,2,San Francisco,2
Basalt Tech,https://www.ycombinator.com/companies/basalt-tech,2,San Francisco,2
Carousel Technologies,https://www.ycombinator.com/companies/carousel-technologies,3,New York,2
Agentic Labs,https://www.ycombinator.com/companies/agentic-labs-2,2,New York,2
DaLMatian,https://www.ycombinator.com/companies/dalmatian,3,,3
Pivot Robots,https://www.ycombinator.com/companies/pivot-robots,2,,2
Aidy,https://www.ycombinator.com/companies/aidy,3,San Francisco,3
DGI Apparel,https://www.ycombinator.com/companies/dgi-apparel,3,New York,3
Buster,https://www.ycombinator.com/companies/buster,3,San Francisco,2
Garage,https://www.ycombinator.com/companies/garage-2,2,New York,2
Mango Health,https://www.ycombinator.com/companies/mango-health,2,San Francisco,2
"Argon AI, Inc.",https://www.ycombinator.com/companies/argon-ai-inc,2,San Francisco,2
nCompass Technologies,https://www.ycombinator.com/companies/ncompass-technologies,2,,2
Pretzel AI,https://www.ycombinator.com/companies/pretzel-ai,2,"Berlin, Germany",2
Apriora,https://www.ycombinator.com/companies/apriora,3,San Francisco,2
malibou,https://www.ycombinator.com/companies/malibou,2,"Paris, France",2
Quary,https://www.ycombinator.com/companies/quary,2,"London, United Kingdom",2
Hemingway,https://www.ycombinator.com/companies/hemingway,2,San Francisco,2
Tile,https://www.ycombinator.com/companies/tile,2,New York,2
Adagy Robotics,https://www.ycombinator.com/companies/adagy-robotics,2,New York,2
Momentic,https://www.ycombinator.com/companies/momentic,2,San Francisco,2
Reducto,https://www.ycombinator.com/companies/reducto,2,,2
Vectorview,https://www.ycombinator.com/companies/vectorview,2,San Francisco,2
Maia,https://www.ycombinator.com/companies/maia,2,San Francisco,2
"Nuanced, Inc.",https://www.ycombinator.com/companies/nuanced-inc,2,San Francisco,2
Precip,https://www.ycombinator.com/companies/precip,3,,3
Tracecat,https://www.ycombinator.com/companies/tracecat,2,San Francisco,2
Kabilah,https://www.ycombinator.com/companies/kabilah,2,"Stanford, CA",2
Sonia,https://www.ycombinator.com/companies/sonia,3,San Francisco,3
MAIHEM,https://www.ycombinator.com/companies/maihem,2,San Francisco,2
ion design,https://www.ycombinator.com/companies/ion-design,2,San Francisco,2
Duckie,https://www.ycombinator.com/companies/duckie,2,San Francisco,2
Happenstance,https://www.ycombinator.com/companies/happenstance,3,,1
Ubicloud,https://www.ycombinator.com/companies/ubicloud,10,San Francisco,3
Greptile,https://www.ycombinator.com/companies/greptile,3,San Francisco,3
HeyPurple,https://www.ycombinator.com/companies/heypurple,3,San Francisco,3
ego,https://www.ycombinator.com/companies/ego,5,San Francisco,2
Leya,https://www.ycombinator.com/companies/leya,12,"Stockholm, Sweden",3
Scritch,https://www.ycombinator.com/companies/scritch,2,San Francisco,2
RadMate AI,https://www.ycombinator.com/companies/radmate-ai,2,San Francisco,2
Okapi,https://www.ycombinator.com/companies/okapi,2,San Francisco,2
Relari,https://www.ycombinator.com/companies/relari,2,,2
DryMerge,https://www.ycombinator.com/companies/drymerge,2,San Francisco,2
Navier AI,https://www.ycombinator.com/companies/navier-ai,2,,2
Upsolve AI,https://www.ycombinator.com/companies/upsolve-ai,2,San Francisco,2
SciPhi,https://www.ycombinator.com/companies/sciphi,1,,1
AgentHub,https://www.ycombinator.com/companies/agenthub,2,"Vancouver, Canada",2
Driver AI,https://www.ycombinator.com/companies/driver-ai,8,"Austin, TX",2
Lantern,https://www.ycombinator.com/companies/lantern-2,3,San Francisco,2
Danswer,https://www.ycombinator.com/companies/danswer,2,,2
Yenmo,https://www.ycombinator.com/companies/yenmo,5,"Bengaluru, India",2
GovernGPT,https://www.ycombinator.com/companies/governgpt,2,"Toronto, Canada",2
Stitch Technologies,https://www.ycombinator.com/companies/stitch-technologies,0,"London, United Kingdom",2
